Id,"Game Group Id",Identifier
1,1,Red
2,1,Blue
3,2,Yellow
4,3,Gold
5,3,Silver
6,4,Crystal
7,5,Ruby
8,5,Sapphire
9,6,Emerald
10,7,Firered
11,7,Leafgreen
12,8,Diamond
13,8,Pearl
14,9,Platinum
15,10,Heartgold
16,10,Soulsilver
17,11,Black
18,11,White
19,12,Colosseum
20,13,Xd
21,14,"Black 2"
22,14,"White 2"
23,15,X
24,15,Y
25,16,"Omega Ruby"
26,16,"Alpha Sapphire"
27,17,Sun
28,17,Moon
29,18,"Ultra Sun"
30,18,"Ultra Moon"
31,19,"Lets Go Pikachu"
32,19,"Lets Go Eevee"
33,20,Sword
34,20,Shield
35,21,"The Isle Of Armor"
36,22,"The Crown Tundra"
37,23,"Brilliant Diamond"
38,23,"Shining Pearl"
39,24,"Legends Arceus"
40,25,Scarlet
41,25,Violet
42,26,"The Teal Mask"
43,27,"The Indigo Disk"
44,28,"Red Japan"
45,28,"Green Japan"
46,29,"Blue Japan"
