Id,Identifier,"Decreased Stat Id","Increased Stat Id","Hates Flavor Id","Likes Flavor Id","Game Index"
1,Hardy,2,2,1,1,0
2,Bold,2,3,1,5,5
3,Modest,2,4,1,2,15
4,Calm,2,5,1,4,20
5,Timid,2,6,1,3,10
6,Lonely,3,2,5,1,1
7,Docile,3,3,5,5,6
8,Mild,3,4,5,2,16
9,Gentle,3,5,5,4,21
10,Hasty,3,6,5,3,11
11,Adamant,4,2,2,1,3
12,Impish,4,3,2,5,8
13,Bashful,4,4,2,2,18
14,Careful,4,5,2,4,23
15,Rash,5,4,4,2,19
16,Jolly,4,6,2,3,13
17,Naughty,5,2,4,1,4
18,Lax,5,3,4,5,9
19,Quirky,5,5,4,4,24
20,Naive,5,6,4,3,14
21,Brave,6,2,3,1,2
22,Relaxed,6,3,3,5,7
23,Quiet,6,4,3,2,17
24,Sassy,6,5,3,4,22
25,Serious,6,6,3,3,12
